run_id,path_cost,goal_tests,states,succs,time_taken
237,-96,2,4,1,5.698204040527344e-05
238,-65,11,32,10,0.0003509521484375
239,-89,5,13,4,0.00016021728515625
240,-79,6,16,5,0.00018215179443359375
241,-76,12,44,11,0.0006299018859863281
242,-62,17,55,16,0.0006728172302246094
243,-74,18,57,17,0.0006418228149414062
244,-83,6,19,5,0.00023293495178222656
245,-75,18,60,17,0.0007367134094238281
246,-88,11,33,10,0.0003769397735595703
247,-73,20,63,19,0.0008299350738525391
248,-96,2,4,1,5.3882598876953125e-05
249,-91,2,4,1,5.507469177246094e-05
250,-86,9,23,8,0.00026607513427734375
251,-96,2,4,1,5.507469177246094e-05
252,-78,21,72,20,0.0009958744049072266
253,-99,3,6,2,7.390975952148438e-05
254,-75,12,40,11,0.0006079673767089844
255,-84,8,23,7,0.0002570152282714844
256,-79,9,29,8,0.0003688335418701172
257,-58,21,68,20,0.0007779598236083984
258,-93,4,10,3,0.00011897087097167969
259,-82,15,48,14,0.0005488395690917969
260,-64,25,84,24,0.0010950565338134766
261,-89,9,25,8,0.0002770423889160156
262,-84,8,28,7,0.00035190582275390625
263,-80,10,28,9,0.00032520294189453125
264,-79,14,46,13,0.0005660057067871094
265,-91,5,15,4,0.0002770423889160156
266,-81,14,38,13,0.00043487548828125
267,-83,5,15,4,0.0001938343048095703
268,-76,5,9,4,9.894371032714844e-05
269,-78,10,33,9,0.0004220008850097656
270,-70,23,73,22,0.0009150505065917969
271,-83,6,18,5,0.00022912025451660156
272,-73,10,30,9,0.0003750324249267578
273,-86,7,17,6,0.00020194053649902344
274,-61,30,94,29,0.0011980533599853516
275,-91,4,11,3,0.00012803077697753906
276,-87,3,8,2,9.489059448242188e-05
277,-90,7,18,6,0.0002071857452392578
278,-85,13,44,12,0.0005991458892822266
279,-82,10,35,9,0.0004839897155761719
280,-79,12,30,11,0.0003190040588378906
281,-85,4,11,3,0.0001289844512939453
282,-70,14,46,13,0.0005431175231933594
283,-85,11,35,10,0.00043082237243652344
284,-92,4,11,3,0.00013327598571777344
285,-96,2,4,1,5.2928924560546875e-05
286,-61,30,98,29,0.0012431144714355469
287,-85,9,25,8,0.00027108192443847656
288,-82,9,31,8,0.00040602684020996094
289,-85,10,26,9,0.0003008842468261719
290,-88,11,33,10,0.00041794776916503906
291,-73,16,52,15,0.0006740093231201172
292,-96,5,11,4,0.0001232624053955078
293,-87,3,7,2,8.702278137207031e-05
294,-80,13,42,12,0.0005161762237548828
295,-61,17,54,16,0.000629425048828125
296,-84,8,24,7,0.0002918243408203125
297,-70,25,84,24,0.0010309219360351562
298,-70,23,74,22,0.0008730888366699219
299,-89,8,19,7,0.00020599365234375
300,-90,7,18,6,0.00021195411682128906
301,-97,2,3,1,4.506111145019531e-05
302,-56,30,95,29,0.001107931137084961
303,-95,2,4,1,5.507469177246094e-05
304,-85,9,27,8,0.0003249645233154297
305,-76,18,55,17,0.0006299018859863281
306,-80,15,54,14,0.0007801055908203125
307,-70,24,73,23,0.0008709430694580078
308,-80,12,33,11,0.00035834312438964844
309,-94,7,19,6,0.00021910667419433594
310,-79,12,42,11,0.0005960464477539062
311,-64,27,87,26,0.0010318756103515625
312,-69,24,74,23,0.0008921623229980469
313,-87,13,37,12,0.0004508495330810547
314,-70,26,84,25,0.0010557174682617188
315,-70,28,92,27,0.0013251304626464844
316,-82,6,17,5,0.00020313262939453125
317,-58,30,93,29,0.0010881423950195312
318,-90,7,23,6,0.0002880096435546875
319,-74,20,64,19,0.0007319450378417969
320,-73,22,76,21,0.0010259151458740234
321,-82,14,40,13,0.00043392181396484375
322,-91,5,15,4,0.0001850128173828125
323,-79,14,43,13,0.0005002021789550781
324,-83,6,17,5,0.00019407272338867188
325,-80,12,41,11,0.0005381107330322266
326,-85,8,27,7,0.0003609657287597656
327,-73,18,59,17,0.0008118152618408203
328,-82,14,41,13,0.00045228004455566406
329,-90,7,22,6,0.0002758502960205078
330,-96,2,4,1,5.2928924560546875e-05
331,-82,8,23,7,0.0002570152282714844
332,-89,3,8,2,9.512901306152344e-05
333,-97,3,6,2,7.605552673339844e-05
334,-85,11,32,10,0.0003502368927001953
335,-82,14,45,13,0.0005390644073486328
336,-69,23,74,22,0.0008480548858642578
337,-95,2,3,1,4.506111145019531e-05
338,-95,3,6,2,7.295608520507812e-05
339,-94,6,15,5,0.00016307830810546875
340,-70,23,76,22,0.000949859619140625
341,-86,8,23,7,0.0002727508544921875
342,-89,4,12,3,0.00014495849609375
343,-85,11,31,10,0.000347137451171875
344,-79,12,41,11,0.0005559921264648438
345,-75,12,40,11,0.0005409717559814453
346,-65,28,87,27,0.0011169910430908203
347,-85,13,41,12,0.0004990100860595703
348,-82,10,34,9,0.0004589557647705078
349,-75,19,58,18,0.0006830692291259766
350,-86,6,16,5,0.000186920166015625
351,-83,13,38,12,0.00045418739318847656
352,-81,11,32,10,0.0004067420959472656
353,-86,9,23,8,0.0002512931823730469
354,-78,12,35,11,0.0004050731658935547
355,-91,6,18,5,0.00023317337036132812
356,-94,2,4,1,5.3882598876953125e-05
357,-94,4,11,3,0.0001289844512939453
358,-78,11,33,10,0.0003719329833984375
359,-80,16,51,15,0.0005691051483154297
360,-85,10,28,9,0.00030112266540527344
361,-82,9,31,8,0.0004131793975830078
362,-74,22,75,21,0.000988006591796875
363,-77,14,45,13,0.0005497932434082031
364,-93,2,4,1,5.507469177246094e-05
365,-91,4,10,3,0.00011801719665527344
366,-85,16,55,15,0.0007960796356201172
367,-60,33,105,32,0.0013470649719238281
368,-85,5,16,4,0.0002090930938720703
369,-64,30,97,29,0.0012199878692626953
370,-88,11,33,10,0.0003859996795654297
371,-96,5,11,4,0.0001289844512939453
372,-76,10,33,9,0.0004258155822753906
373,-75,22,67,21,0.0008320808410644531
374,-76,9,27,8,0.00031495094299316406
375,-67,25,80,24,0.0009770393371582031
376,-94,5,15,4,0.0001838207244873047
377,-46,33,107,32,0.001293182373046875
378,-88,5,14,4,0.0001609325408935547
379,-56,30,97,29,0.0011301040649414062
380,-99,3,6,2,7.510185241699219e-05
381,-97,3,7,2,8.702278137207031e-05
382,-83,14,45,13,0.0005819797515869141
383,-93,4,10,3,0.00012087821960449219
384,-87,5,14,4,0.00017213821411132812
385,-69,17,58,16,0.0007281303405761719
386,-79,15,44,14,0.0004742145538330078
387,-88,6,18,5,0.0002129077911376953
388,-98,2,3,1,4.38690185546875e-05
389,-58,29,96,28,0.001094818115234375
390,-82,13,43,12,0.0005621910095214844
391,-79,14,45,13,0.0005359649658203125
392,-82,8,27,7,0.0003452301025390625
393,-91,8,22,7,0.00023484230041503906
394,-73,13,44,12,0.0005710124969482422
395,-82,14,41,13,0.0005052089691162109
396,-92,2,4,1,5.507469177246094e-05
397,-88,8,25,7,0.0003287792205810547
398,-92,4,11,3,0.0001270771026611328
399,-74,20,61,19,0.0007538795471191406
400,-73,25,84,24,0.0012049674987792969
401,-92,2,3,1,4.6253204345703125e-05
402,-92,2,3,1,4.410743713378906e-05
403,-86,10,30,9,0.0003230571746826172
404,-77,5,12,4,0.0001342296600341797
405,-81,8,21,7,0.00024008750915527344
406,-79,17,55,16,0.0006630420684814453
407,-87,3,7,2,8.296966552734375e-05
408,-79,7,21,6,0.0002319812774658203
409,-88,9,25,8,0.0002968311309814453
410,-55,30,96,29,0.0011630058288574219
411,-89,4,10,3,0.00011801719665527344
412,-65,23,77,22,0.0009038448333740234
413,-82,6,14,5,0.0001480579376220703
414,-74,10,30,9,0.00035309791564941406
