run_id,path_cost,goal_tests,states,succs,time_taken
320,-64,13,21,8,0.00013899803161621094
321,-79,24,58,17,0.00034308433532714844
322,-72,34,103,30,0.0005962848663330078
323,-80,24,63,19,0.00037407875061035156
324,-80,31,85,25,0.0005559921264648438
325,-85,6,7,2,5.3882598876953125e-05
326,-83,34,100,30,0.0006239414215087891
327,-87,11,17,5,0.00011587142944335938
328,-75,22,55,16,0.0003509521484375
329,-70,25,56,16,0.0003781318664550781
330,-80,25,68,20,0.00045180320739746094
331,-78,16,31,10,0.00020813941955566406
332,-80,25,67,20,0.0004189014434814453
333,-91,9,11,3,7.700920104980469e-05
334,-85,22,43,11,0.00029468536376953125
335,-89,14,22,7,0.0001480579376220703
336,-98,3,2,1,2.4080276489257812e-05
337,-85,8,12,4,8.606910705566406e-05
338,-81,13,19,5,0.00012803077697753906
339,-88,12,20,6,0.00012993812561035156
340,-89,10,14,4,9.512901306152344e-05
341,-79,25,65,19,0.0003781318664550781
342,-86,25,61,17,0.00039076805114746094
343,-67,28,74,22,0.00043702125549316406
344,-81,25,59,17,0.000370025634765625
345,-82,19,38,11,0.00024390220642089844
346,-55,25,60,19,0.0003669261932373047
347,-93,9,12,3,8.487701416015625e-05
348,-79,32,91,27,0.0005650520324707031
349,-73,29,77,23,0.00048279762268066406
350,-65,24,57,17,0.0003581047058105469
351,-72,23,49,13,0.0003459453582763672
352,-29,34,102,30,0.0006401538848876953
353,-76,21,46,13,0.0002970695495605469
354,-65,32,93,27,0.0005400180816650391
355,-91,9,11,3,7.724761962890625e-05
356,-82,16,32,10,0.0002009868621826172
357,-56,30,83,26,0.0004799365997314453
358,-80,25,65,19,0.00038886070251464844
359,-91,13,27,8,0.0001659393310546875
360,-93,12,16,4,0.00011420249938964844
361,-85,27,70,21,0.00043320655822753906
362,-82,20,38,10,0.00025010108947753906
363,-86,15,29,9,0.00018095970153808594
364,-65,28,70,20,0.00044608116149902344
365,-79,16,24,6,0.00016880035400390625
366,-83,8,8,2,5.984306335449219e-05
367,-81,13,22,6,0.0001437664031982422
368,-61,28,71,21,0.0004899501800537109
369,-83,12,17,5,0.00011801719665527344
370,-74,17,34,11,0.00021219253540039062
371,-70,20,44,14,0.00026702880859375
372,-78,16,34,10,0.00021195411682128906
373,-13,34,98,29,0.0006039142608642578
374,-80,17,33,10,0.00024509429931640625
375,-78,20,43,13,0.0002658367156982422
376,-90,34,101,29,0.0006520748138427734
377,-79,23,55,16,0.0003352165222167969
378,-22,35,109,32,0.0006349086761474609
379,-88,27,61,17,0.0004191398620605469
380,-85,20,44,12,0.0002849102020263672
381,-70,17,39,12,0.0002651214599609375
382,-55,34,103,31,0.0005960464477539062
383,-74,19,44,13,0.00026106834411621094
384,-85,19,37,10,0.00024700164794921875
385,-74,22,53,15,0.00034928321838378906
386,-93,11,12,3,8.869171142578125e-05
387,-80,22,47,14,0.0002989768981933594
388,-99,7,9,3,6.318092346191406e-05
389,-65,30,82,24,0.0004849433898925781
390,-61,28,76,22,0.00044727325439453125
391,-91,18,38,11,0.00024890899658203125
392,-23,31,84,24,0.0005059242248535156
393,-75,25,60,18,0.00037598609924316406
394,-87,14,23,6,0.00021219253540039062
395,-95,10,11,3,8.606910705566406e-05
396,-82,20,43,14,0.00026988983154296875
397,-98,3,2,1,2.5033950805664062e-05
398,-91,7,8,2,5.793571472167969e-05
399,-82,10,17,6,0.00011110305786132812
400,-91,9,11,3,7.677078247070312e-05
401,-45,35,109,33,0.0006127357482910156
402,-86,18,33,9,0.00022673606872558594
403,-86,25,57,16,0.0003638267517089844
404,-82,14,23,8,0.00014781951904296875
